GOAL68 true:0.7263 false:0.2737 
SNode_132 true:0.1823 false:0.8177 
RApp12 true:0.0303 false:0.9697 
RApp13 true:0.0909 false:0.9091 
GOAL_147 true:0.2533 false:0.7467 
SNode_151 true:0.1212 false:0.8788 

RESOLVE37 true:0.4328 false:0.5672 
FIND58 true:0.2775 false:0.7225 
WRITE31 true:0.5661 false:0.4339 
VALUE3 true:0.3782 false:0.6218 
NEED36 true:0.8779 false:0.1221 
VECTOR69 true:0.3441 false:0.6559 
FIND49 true:0.5005 false:0.4995 
SYSTEM46 true:0.8002 false:0.1998 
GOAL65 true:0.778 false:0.222 
RESOLVE40 true:0.3665 false:0.6335 
RESOLVE42 true:0.5448 false:0.4552 
VAR20 true:0.6892 false:0.3108 
IDENTIFY9 true:0.5772 false:0.4228 
VELOCITY7 true:0.3661 false:0.6339 
SLIDING4 true:0.9889 false:0.0111 
VECTOR27 true:0.2775 false:0.7225 
APPLY77 true:0.4899 false:0.5101 
KINE29 true:0.4995 false:0.5005 
IDENTIFY22 true:0.4679 false:0.5321 
SNode_11 true:1 
SNode_13 true:0.9667 false:0.0333 
SNode_12 true:0.9889 false:0.0111 
SNode_15 true:1 
SNode_14 true:0.9667 false:0.0333 
SNode_16 true:0.9778 false:0.0222 
VECTOR70 true:0.8127 false:0.1873 
IDENTIFY39 true:0.5353 false:0.4647 
FORCE60 true:0.8335 false:0.1665 
KNOWN8 true:0.0777 false:0.9223 
CHOOSE62 true:0.5976 false:0.4024 
RApp2 true:0.9778 false:0.0222 
DEFINE23 true:0.3663 false:0.6337 
MAXIMIZE34 true:0.6025 false:0.3975 
NEED1 true:0.0866 false:0.9134 
SNode_9 true:0.9556 false:0.0444 
SNode_5 true:0.9556 false:0.0444 
CHOOSE19 true:0.4526 false:0.5474 
SNode_6 true:0.9889 false:0.0111 
SNode_47 true:0.4191 false:0.5809 
NORMAL52 false:1 
NORMAL50 true:0.5782 false:0.4218 
WRITE64 true:0.556 false:0.444 
SUM75 true:0.3441 false:0.6559 
WEIGHT57 true:0.6559 false:0.3441 
GRAV78 true:0.5661 false:0.4339 
SNode_4 true:0.9445 false:0.0555 
CHOOSE35 true:0.5893 false:0.4107 
TRY25 true:1 
NEED67 true:0.889 false:0.111 
SNode_21 true:0.2331 false:0.7669 
SNode_26 true:0.8929 false:0.1071 
VECTOR44 true:0.6337 false:0.3663 
HORIZ53 true:0.2674 false:0.7326 
GOAL_48 true:0.9556 false:0.0444 
RApp1 true:0.1221 false:0.8779 
RApp3 true:0.1221 false:0.8779 
TRY14 true:0.1443 false:0.8557 
TRY13 true:0.333 false:0.667 
SNode_8 true:0.9556 false:0.0444 
SNode_41 true:0.8224 false:0.1776 
SNode_27 true:0.2886 false:0.7114 
GOAL_49 true:0.2997 false:0.7003 
GOAL_50 true:0.3057 false:0.6943 
SNode_51 true:0.3167 false:0.6833 
SNode_52 true:0.4054 false:0.5946 
GOAL_56 true:0.2388 false:0.7612 
GOAL_57 true:0.1499 false:0.8501 
GOAL_53 true:0.4995 false:0.5005 
SNode_29 true:0.1443 false:0.8557 
SNode_60 true:0.1511 false:0.8489 
GOAL_61 true:0.2383 false:0.7617 
GOAL_62 true:0.2886 false:0.7114 
SNode_46 true:0.1887 false:0.8113 
SNode_73 true:0.7558 false:0.2442 
SNode_70 true:0.1443 false:0.8557 
GOAL_63 true:0.5957 false:0.4043 
SNode_74 true:0.3774 false:0.6226 
RApp6 true:0.0333 false:0.9667 
GOAL_79 true:0.1998 false:0.8002 
RApp5 true:0.0555 false:0.9445 
GOAL_83 true:0.0666 false:0.9334 
SNode_156 true:0.1776 false:0.8224 
GOAL_87 true:0.0333 false:0.9667 
GOAL_99 true:0.2413 false:0.7587 
SNode_37 true:0.1665 false:0.8335 
SNode_38 true:0.2109 false:0.7891 
SNode_88 true:0.0591 false:0.9409 
SNode_152 true:0.8224 false:0.1776 
GOAL_109 true:0.9112 false:0.0888 
GOAL_153 true:0.1776 false:0.8224 
RApp9 true:0.0222 false:0.9778 
GOAL_127 true:0.111 false:0.889 
GOAL_126 true:0.0333 false:0.9667 
GOAL_110 true:0.8779 false:0.1221 
GOAL_111 true:0.6198 false:0.3802 
SNode_123 true:0.3202 false:0.6798 
SNode_154 true:0.667 false:0.333 
RApp8 true:0.6645 false:0.3355 
GOAL_113 true:0.7003 false:0.2997 
SNode_117 true:0.6226 false:0.3774 
SNode_116 true:0.1554 false:0.8446 
SNode_137 true:0.1998 false:0.8002 
SNode_112 true:0.6226 false:0.3774 
GOAL_142 true:0.1453 false:0.8547 
SNode_118 true:0.222 false:0.778 
SNode_134 true:0.2657 false:0.7343 
GOAL_146 true:0.1443 false:0.8557 
GOAL_143 true:0.1776 false:0.8224 
RApp12 true:0.1221 false:0.8779 
GOAL_147 true:0.1789 false:0.8211 
SNode_151 true:0.0777 false:0.9223 

RESOLVE37 true:0.4852 false:0.5148 
FIND58 true:0.2544 false:0.7456 
NULL48 true:0.5512 false:0.4488 
GOAL66 true:0.4028 false:0.5972 
WRITE31 true:0.5908 false:0.4092 
IDENTIFY59 true:0.5365 false:0.4635 
VECTOR69 true:0.3604 false:0.6396 
RESOLVE42 true:0.6859 false:0.3141 
IDENTIFY9 true:0.5374 false:0.4626 
COMPO16 true:0.1447 false:0.8553 
VELOCITY7 true:0.7138 false:0.2862 
VECTOR27 true:0.4276 false:0.5724 
APPLY77 true:0.3392 false:0.6608 
EQUATION28 true:0.318 false:0.682 
SNode_18 true:0.9576 false:0.0424 
VECTOR73 true:0.4633 false:0.5367 
SNode_11 true:0.9788 false:0.0212 
SNode_17 true:1 
SNode_16 true:0.9682 false:0.0318 
GIVEN_1 true:0.9788 false:0.0212 
VECTOR70 true:0.894 false:0.106 
IDENTIFY39 true:0.4957 false:0.5043 
KNOWN6 true:0.9516 false:0.0484 
CHOOSE62 true:0.5995 false:0.4005 
RApp4 true:0.159 false:0.841 
CHOOSE47 true:0.6021 false:0.3979 
MAXIMIZE34 true:0.5144 false:0.4856 
IDENTIFY43 true:0.5618 false:0.4382 
NEED1 true:0.6608 false:0.3392 
SNode_5 true:0.9788 false:0.0212 
SNode_7 true:0.9576 false:0.0424 
SNode_6 true:0.9258 false:0.0742 
NORMAL52 true:0.9576 false:0.0424 
IDENTIFY55 true:0.6254 false:0.3746 
WRITE64 true:0.5124 false:0.4876 
SUM75 true:0.5077 false:0.4923 
NEWTONS45 true:0.37 false:0.63 
BUGGY54 true:0.1166 false:0.8834 
GRAV78 true:0.5124 false:0.4876 
SNode_4 true:0.9788 false:0.0212 
TRY25 true:0.9682 false:0.0318 
TRY26 true:0.9576 false:0.0424 
TRY76 true:0.4806 false:0.5194 
SNode_20 true:0.7562 false:0.2438 
SNode_24 true:0.2012 false:0.7988 
SNode_26 true:0.9894 false:0.0106 
NEWTONS74 true:0.5512 false:0.4488 
HORIZ53 true:0.8515 false:0.1485 
SNode_33 true:0.9788 false:0.0212 
SNode_34 true:0.9258 false:0.0742 
SNode_92 true:0.2862 false:0.7138 
TRY15 true:0.1272 false:0.8728 
TRY14 true:0.0954 false:0.9046 
SNode_41 true:0.9258 false:0.0742 
GOAL_49 true:0.1166 false:0.8834 
SNode_42 true:0.7853 false:0.2147 
GOAL_56 true:0.2014 false:0.7986 
GOAL_53 true:0.2463 false:0.7537 
SNode_43 true:0.106 false:0.894 
SNode_44 true:0.106 false:0.894 
SNode_54 true:0.1802 false:0.8198 
SNode_59 true:0.0424 false:0.9576 
SNode_28 true:0.4276 false:0.5724 
SNode_29 true:0.576 false:0.424 
GOAL_69 true:0.1378 false:0.8622 
GOAL_63 true:0.5618 false:0.4382 
SNode_71 true:0.1924 false:0.8076 
GOAL_81 true:0.5618 false:0.4382 
GOAL_84 true:0.6926 false:0.3074 
GOAL_98 true:0.053 false:0.947 
SNode_37 true:0.0318 false:0.9682 
SNode_88 true:0.0742 false:0.9258 
SNode_93 true:0.159 false:0.841 
SNode_97 true:0.2359 false:0.7641 
SNode_102 true:0.1272 false:0.8728 
SNode_95 true:0.2997 false:0.7003 
GOAL_103 true:0.159 false:0.841 
GOAL_104 true:0.1833 false:0.8167 
SNode_106 true:0.0668 false:0.9332 
GOAL_107 true:0.0742 false:0.9258 
GOAL_108 true:0.0106 false:0.9894 
GOAL_127 true:0.1838 false:0.8162 
GOAL_126 true:0.2226 false:0.7774 
GOAL_121 true:0.7138 false:0.2862 
GOAL_110 true:0.7562 false:0.2438 
GOAL_111 true:0.2756 false:0.7244 
GOAL_114 true:0.8728 false:0.1272 
RApp10 true:0.1626 false:0.8374 
SNode_123 true:0.3492 false:0.6508 
SNode_128 true:0.2007 false:0.7993 
SNode_154 true:0.5874 false:0.4126 
RApp8 true:0.2756 false:0.7244 
SNode_116 true:0.106 false:0.894 
SNode_112 true:0.424 false:0.576 
SNode_120 true:0.4182 false:0.5818 
SNode_124 true:0.4819 false:0.5181 
SNode_125 true:0.2014 false:0.7986 
SNode_118 true:0.3074 false:0.6926 
SNode_135 true:0.3498 false:0.6502 
SNode_134 true:0.3922 false:0.6078 
SNode_132 true:0.1678 false:0.8322 
SNode_119 true:0.3871 false:0.6129 
GOAL_143 true:0.2332 false:0.7668 
RApp12 true:0.265 false:0.735 
GOAL_149 true:0.5972 false:0.4028 
GOAL_150 true:0.1378 false:0.8622 

RESOLVE37 true:0.3706 false:0.6294 
FIND58 true:0.3034 false:0.6966 
NULL48 true:0.5875 false:0.4125 
RESOLVE38 true:0.455 false:0.545 
WRITE31 true:0.4768 false:0.5232 
WRITE30 true:0.782 false:0.218 
IDENTIFY59 true:0.3582 false:0.6418 
RESOLVE42 true:0.6104 false:0.3896 
IDENTIFY10 true:0.5341 false:0.4659 
VAR20 true:0.9019 false:0.0981 
VELOCITY7 true:0.5104 false:0.4896 
VECTOR27 true:0.4441 false:0.5559 
APPLY77 true:0.423 false:0.577 
KINE29 true:0.545 false:0.455 
SNode_19 true:0.9455 false:0.0545 
VECTOR73 true:0.499 false:0.501 
SNode_14 true:0.9346 false:0.0654 
GIVEN_1 true:0.9673 false:0.0327 
GOAL72 true:0.5423 false:0.4577 
GIVEN21 true:0.9564 false:0.0436 
KNOWN6 true:0.9237 false:0.0763 
CHOOSE62 true:0.6076 false:0.3924 
RApp2 true:0.9891 false:0.0109 
MAXIMIZE34 true:0.5341 false:0.4659 
IDENTIFY43 true:0.5123 false:0.4877 
IDENTIFY41 true:0.6288 false:0.3712 
TRY12 true:0.9455 false:0.0545 
CHOOSE19 true:0.8365 false:0.1635 
SNode_47 true:0.683 false:0.317 
NORMAL52 false:1 
IDENTIFY55 true:0.3488 false:0.6512 
APPLY32 true:0.4469 false:0.5531 
SUM75 true:0.4918 false:0.5082 
GOAL_2 true:0.9891 false:0.0109 
NEWTONS45 true:0.4578 false:0.5422 
CONSTANT5 true:0.9172 false:0.0828 
WEIGHT57 true:0.3924 false:0.6076 
GRAV2 true:0.4205 false:0.5795 
TRY26 true:0.9346 false:0.0654 
AXIS33 true:0.8474 false:0.1526 
NEED67 true:0.7036 false:0.2964 
SNode_21 true:0.2507 false:0.7493 
VECTOR44 true:0.4469 false:0.5531 
HORIZ53 true:0.1877 false:0.8123 
SNode_34 true:0.891 false:0.109 
SNode_92 true:0.278 false:0.722 
GOAL_48 true:0.9891 false:0.0109 
RApp3 true:0.8038 false:0.1962 
TRY14 true:0.7929 false:0.2071 
SNode_41 true:0.9564 false:0.0436 
GOAL_49 true:1 
SNode_51 true:0.2103 false:0.7897 
SNode_52 true:0.218 false:0.782 
GOAL_53 true:0.4734 false:0.5266 
SNode_54 true:0.4188 false:0.5812 
SNode_55 true:0.4078 false:0.5922 
SNode_28 true:0.2071 false:0.7929 
SNode_29 true:0.3133 false:0.6867 
SNode_31 true:0.1526 false:0.8474 
SNode_60 true:0.3052 false:0.6948 
GOAL_69 true:0.2071 false:0.7929 
GOAL_72 true:0.4005 false:0.5995 
SNode_73 true:0.3161 false:0.6839 
SNode_70 true:0.218 false:0.782 
SNode_67 true:0.2398 false:0.7602 
SNode_68 true:0.1899 false:0.8101 
SNode_64 true:0.1635 false:0.8365 
SNode_65 true:0.2664 false:0.7336 
SNode_75 true:0.134 false:0.866 
GOAL_80 true:0.2398 false:0.7602 
RApp6 true:0.2507 false:0.7493 
GOAL_79 true:0.109 false:0.891 
GOAL_81 true:0.5721 false:0.4279 
SNode_86 true:0.0763 false:0.9237 
SNode_156 true:0.1417 false:0.8583 
GOAL_87 true:0.8558 false:0.1442 
SNode_38 true:0.1962 false:0.8038 
SNode_91 true:0.2289 false:0.7711 
SNode_93 true:0.2071 false:0.7929 
SNode_40 true:0.1913 false:0.8087 
SNode_102 true:0.1308 false:0.8692 
GOAL_104 true:0.1545 false:0.8455 
SNode_152 true:0.257 false:0.743 
GOAL_108 true:0.0327 false:0.9673 
GOAL_153 true:0.1651 false:0.8349 
RApp7 true:0.0654 false:0.9346 
GOAL_127 true:0.2507 false:0.7493 
GOAL_110 true:0.2616 false:0.7384 
SNode_122 true:0.1526 false:0.8474 
SNode_128 true:0.1199 false:0.8801 
SNode_154 true:0.1199 false:0.8801 
GOAL_130 true:0.1962 false:0.8038 
RApp8 true:0.1308 false:0.8692 
GOAL_129 true:0.1927 false:0.8073 
GOAL_113 true:0.237 false:0.763 
SNode_116 true:0.1744 false:0.8256 
SNode_137 true:0.1308 false:0.8692 
SNode_112 true:0.2507 false:0.7493 
SNode_124 true:0.3567 false:0.6433 
SNode_118 true:0.2616 false:0.7384 
SNode_135 true:0.436 false:0.564 
SNode_132 true:0.1853 false:0.8147 
GOAL_146 true:0.1308 false:0.8692 
SNode_119 true:0.3136 false:0.6864 
GOAL_143 true:0.0763 false:0.9237 
GOAL_147 true:0.1394 false:0.8606 
GOAL_149 true:0.2725 false:0.7275 
GOAL_150 true:0.2152 false:0.7848 
SNode_151 true:0.1526 false:0.8474 

RESOLVE37 true:0.484 false:0.516 
FIND58 true:0.2749 false:0.7251 
NULL48 true:0.506 false:0.494 
VALUE3 true:0.231 false:0.769 
VECTOR69 true:0.3514 false:0.6486 
FIND49 true:0.638 false:0.362 
SYSTEM46 true:0.5604 false:0.4396 
RESOLVE42 true:0.5493 false:0.4507 
IDENTIFY10 true:0.473 false:0.527 
VAR20 true:0.659 false:0.341 
COMPO16 true:0.781 false:0.219 
SLIDING4 true:0.923 false:0.077 
VECTOR27 true:0.417 false:0.583 
DISPLACEM0 true:0.12 false:0.88 
KINE29 true:0.4844 false:0.5156 
VECTOR73 true:0.418 false:0.582 
SNode_11 true:0.989 false:0.011 
SNode_10 true:1 
SNode_13 true:0.945 false:0.055 
SNode_12 true:0.9221 false:0.0779 
GOAL72 true:0.615 false:0.385 
SYSTEM18 true:0.561 false:0.439 
DEFINE23 true:0.286 false:0.714 
MAXIMIZE34 true:0.714 false:0.286 
IDENTIFY43 true:0.4414 false:0.5586 
NEED1 true:0.583 false:0.417 
SNode_9 true:0.978 false:0.022 
SNode_5 true:0.978 false:0.022 
CHOOSE19 true:0.4858 false:0.5142 
SNode_7 true:0.956 false:0.044 
SNode_6 true:0.978 false:0.022 
IDENTIFY55 true:0.736 false:0.264 
APPLY32 true:0.549 false:0.451 
WRITE64 true:0.483 false:0.517 
WRITE63 true:0.583 false:0.417 
NEWTONS45 true:0.4975 false:0.5025 
STRAT_90 SNode_91_2:0.571 SNode_92_1:0.429 
SNode_4 true:0.978 false:0.022 
CHOOSE35 true:0.561 false:0.439 
TRY26 true:0.989 false:0.011 
AXIS33 true:0.374 false:0.626 
TRY76 true:0.5091 false:0.4909 
SNode_20 true:0.605 false:0.395 
SNode_21 true:0.5897 false:0.4103 
SNode_25 true:0.923 false:0.077 
SNode_26 true:0.89 false:0.11 
SNode_33 true:1 
SNode_34 true:0.912 false:0.088 
INCLINE51 true:0.033 false:0.967 
SNode_92 true:0.2239 false:0.7761 
GOAL_48 true:0.818 false:0.182 
RApp3 true:0.3359 false:0.6641 
TRY13 true:0.2258 false:0.7742 
SNode_8 true:0.978 false:0.022 
SNode_41 true:0.857 false:0.143 
TRY24 true:0.956 false:0.044 
GOAL_49 true:0.165 false:0.835 
GOAL_56 true:0.1697 false:0.8303 
GOAL_57 true:0.538 false:0.462 
SNode_43 true:0.099 false:0.901 
SNode_55 true:0.214 false:0.786 
SNode_29 true:0.22 false:0.78 
GOAL_61 true:0.198 false:0.802 
GOAL_62 true:0.132 false:0.868 
GOAL_66 true:0.1476 false:0.8524 
SNode_46 true:0.187 false:0.813 
SNode_70 true:0.165 false:0.835 
SNode_67 true:0.208 false:0.792 
GOAL_63 true:0.2478 false:0.7522 
SNode_68 true:0.208 false:0.792 
SNode_64 true:0.358 false:0.642 
SNode_65 true:0.2921 false:0.7079 
SNode_71 true:0.231 false:0.769 
GOAL_80 true:0.1357 false:0.8643 
GOAL_81 true:0.3776 false:0.6224 
SNode_86 true:0.6415 false:0.3585 
GOAL_99 true:0.253 false:0.747 
SNode_88 true:0.165 false:0.835 
SNode_93 true:0.4872 false:0.5128 
SNode_94 true:0.923 false:0.077 
SNode_40 true:0.209 false:0.791 
SNode_102 true:0.2669 false:0.7331 
SNode_100 true:0.231 false:0.769 
GOAL_103 true:0.242 false:0.758 
GOAL_104 true:0.2274 false:0.7726 
SNode_106 true:0.2005 false:0.7995 
GOAL_107 true:0.099 false:0.901 
RApp7 true:0.1287 false:0.8713 
RApp9 false:1 
GOAL_121 true:0.088 false:0.912 
GOAL_110 true:0.406 false:0.594 
GOAL_114 true:0.4749 false:0.5251 
SNode_154 true:0.241 false:0.759 
RApp8 true:0.1997 false:0.8003 
GOAL_129 true:0.077 false:0.923 
SNode_115 true:0.5405 false:0.4595 
GOAL_113 true:0.516 false:0.484 
SNode_117 true:0.56 false:0.44 
SNode_137 true:0.143 false:0.857 
SNode_131 true:0.285 false:0.715 
SNode_155 true:0.405 false:0.595 
SNode_120 true:0.5151 false:0.4849 
GOAL_142 true:0.241 false:0.759 
SNode_118 true:0.4957 false:0.5043 
RApp11 true:0.076 false:0.924 
SNode_119 true:0.3395 false:0.6605 
RApp13 true:0.2974 false:0.7026 
GOAL_147 true:0.3177 false:0.6823 
GOAL_149 true:0.4498 false:0.5502 
GOAL_150 true:0.3741 false:0.6259 

FIND58 true:0.3304 false:0.6696 
NULL48 true:0.4572 false:0.5428 
RESOLVE38 true:0.498 false:0.502 
WRITE30 true:0.472 false:0.528 
VALUE3 true:0.5332 false:0.4668 
NEED36 true:0.3843 false:0.6157 
VECTOR69 true:0.3914 false:0.6086 
SYSTEM46 true:0.5428 false:0.4572 
IDENTIFY10 true:0.5428 false:0.4572 
VAR20 true:0.7859 false:0.2141 
IDENTIFY9 true:0.5916 false:0.4084 
COMPO16 true:0.6327 false:0.3673 
VECTOR27 true:0.674 false:0.326 
IDENTIFY22 true:0.5975 false:0.4025 
EQUATION28 true:0.2714 false:0.7286 
SNode_19 true:0.941 false:0.059 
SNode_10 true:0.9764 false:0.0236 
SNode_13 true:0.8938 false:0.1062 
SNode_15 true:1 
SNode_14 true:0.9882 false:0.0118 
SNode_17 true:0.9882 false:0.0118 
GIVEN_1 true:1 
GOAL72 true:0.5782 false:0.4218 
SYSTEM18 true:0.5516 false:0.4484 
GIVEN21 true:0.9528 false:0.0472 
KNOWN6 true:0.9174 false:0.0826 
KNOWN8 true:0.8112 false:0.1888 
CHOOSE62 true:0.5428 false:0.4572 
RApp2 true:0.9764 false:0.0236 
RApp4 true:0.8348 false:0.1652 
MAXIMIZE34 true:0.5402 false:0.4598 
IDENTIFY43 true:0.4105 false:0.5895 
IDENTIFY41 true:0.4714 false:0.5286 
NEED1 true:0.7994 false:0.2006 
TRY12 true:0.4602 false:0.5398 
SNode_9 true:0.9764 false:0.0236 
CHOOSE19 true:0.5054 false:0.4946 
SNode_7 true:0.9882 false:0.0118 
SNode_3 true:0.9882 false:0.0118 
SNode_47 true:0.177 false:0.823 
NORMAL52 true:0.0118 false:0.9882 
NORMAL50 true:0.8348 false:0.1652 
IDENTIFY55 true:0.152 false:0.848 
APPLY32 true:0.4467 false:0.5533 
WRITE63 true:0.5416 false:0.4584 
BUGGY54 true:0.9174 false:0.0826 
WEIGHT57 true:0.767 false:0.233 
APPLY61 true:0.3776 false:0.6224 
SNode_4 true:1 
CHOOSE35 true:0.5988 false:0.4012 
AXIS33 true:0.8112 false:0.1888 
SNode_21 true:0.8348 false:0.1652 
SNode_24 true:0.5398 false:0.4602 
NEWTONS74 true:0.6342 false:0.3658 
HORIZ53 true:0.2358 false:0.7642 
SNode_33 true:0.941 false:0.059 
SNode_34 true:0.9056 false:0.0944 
GOAL_48 true:0.6962 false:0.3038 
RApp3 true:0.2478 false:0.7522 
TRY15 true:0.5074 false:0.4926 
TRY14 true:0.4838 false:0.5162 
TRY11 true:0.5516 false:0.4484 
TRY13 true:0.5074 false:0.4926 
SNode_41 true:0.9764 false:0.0236 
GOAL_49 true:0.4956 false:0.5044 
GOAL_50 true:0.4012 false:0.5988 
SNode_51 true:0.1534 false:0.8466 
SNode_52 true:0.295 false:0.705 
GOAL_56 true:0.1534 false:0.8466 
GOAL_57 true:0.1491 false:0.8509 
SNode_43 true:0.295 false:0.705 
SNode_44 true:0.3967 false:0.6033 
SNode_54 true:0.2242 false:0.7758 
SNode_28 true:0.2124 false:0.7876 
SNode_29 true:0.3658 false:0.6342 
SNode_31 true:0.41 false:0.59 
SNode_60 true:0.2242 false:0.7758 
GOAL_61 true:0.177 false:0.823 
SNode_46 true:0.4196 false:0.5804 
SNode_68 true:0.3487 false:0.6513 
SNode_65 true:0.4312 false:0.5688 
SNode_71 true:0.1951 false:0.8049 
GOAL_84 true:0.882 false:0.118 
SNode_86 true:0.4602 false:0.5398 
GOAL_87 true:0.8938 false:0.1062 
GOAL_99 true:0.4543 false:0.5457 
SNode_37 true:0.711 false:0.289 
SNode_94 true:0.9143 false:0.0857 
SNode_40 true:0.513 false:0.487 
SNode_102 true:0.6106 false:0.3894 
SNode_100 true:0.177 false:0.823 
SNode_95 true:0.7015 false:0.2985 
GOAL_103 true:0.1888 false:0.8112 
GOAL_107 true:0.0472 false:0.9528 
GOAL_108 true:0.1348 false:0.8652 
GOAL_153 true:0.2242 false:0.7758 
RApp9 true:0.0236 false:0.9764 
GOAL_127 true:0.1652 false:0.8348 
GOAL_126 true:0.118 false:0.882 
GOAL_111 true:0.2757 false:0.7243 
GOAL_114 true:0.1534 false:0.8466 
SNode_154 true:0.2714 false:0.7286 
RApp8 true:0.1416 false:0.8584 
GOAL_129 true:0.3068 false:0.6932 
SNode_115 true:0.1928 false:0.8072 
GOAL_113 true:0.1455 false:0.8545 
SNode_117 true:0.292 false:0.708 
SNode_136 true:0.4993 false:0.5007 
SNode_131 true:0.177 false:0.823 
SNode_112 true:0.3392 false:0.6608 
SNode_133 true:0.3122 false:0.6878 
RApp11 true:0.0763 false:0.9237 
SNode_135 true:0.2982 false:0.7018 
SNode_134 true:0.4956 false:0.5044 
GOAL_143 true:0.177 false:0.823 
RApp12 true:0.2478 false:0.7522 
RApp13 true:0.0944 false:0.9056 
GOAL_150 true:0.236 false:0.764 

GOAL68 true:0.582 false:0.418 
RESOLVE37 true:0.4949 false:0.5051 
RESOLVE38 true:0.517 false:0.483 
GOAL66 true:0.583 false:0.417 
WRITE30 true:0.516 false:0.484 
VALUE3 true:0.4725 false:0.5275 
GOAL65 true:0.3624 false:0.6376 
RESOLVE40 true:0.516 false:0.484 
IDENTIFY10 true:0.681 false:0.319 
VAR20 true:0.7471 false:0.2529 
VELOCITY7 true:0.681 false:0.319 
SLIDING4 true:0.934 false:0.066 
DISPLACEM0 true:0.7688 false:0.2312 
EQUATION28 true:0.297 false:0.703 
SNode_18 true:0.956 false:0.044 
